구분,소재지도로명주소,소재지지번주소,취급물품,관리부서명,관리부서 전화번호,데이터기준일자
가로판매대,"서울특별시 강남구 영동대로 429, 세아빌딩 앞","서울특별시 강남구 대치2동 946-12, 세아빌딩 앞 ",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,서울특별시 강남구 테헤란로 534,서울특별시 강남구 대치2동 946-4,먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 테헤란로 114길 11, 강남운전면허시험장 앞","서울특별시 강남구 대치2동 998, 강남운전면허시험장 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 테헤란로 408, 대치빌딩 앞","서울특별시 강남구 대치4동 889-12, 대치빌딩 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 남부순환로 2615, 스타클래스 앞","서울특별시 강남구 도곡1동 957-11, 스타클래스 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 강남대로 238, 세현빌딩 앞","서울특별시 강남구 도곡1동 957-13, 세현빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 남부순환로 2740, 럭키아파트 앞","서울특별시 강남구 도곡2동 462-1, 럭키아파트 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 영동대로 508, 산업은행강남지점 앞","서울특별시 강남구 삼성1동 168-1, 산업은행강남지점 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 테헤란로 625, 덕명빌딩 앞","서울특별시 강남구 삼성1동 170-9, 덕명빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 학동로 426, 강남구청 앞","서울특별시 강남구 삼성2동 16-1, 강남구청 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 광평로 280, 로즈데일 앞","서울특별시 강남구 수서동 724, 로즈데일 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 수서동 727, 수서역 6번출구 앞","서울특별시 강남구 수서동 727, 수서역 6번출구 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 강남대로 620, 영일빌딩 앞","서울특별시 강남구 신사동 502-12, 영일빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 도산대로 117, 삼성빌딩 앞","서울특별시 강남구 신사동 514-18, 삼성빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 논현로 837, 원방빌딩 앞","서울특별시 강남구 신사동 584-4, 원방빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 논현로 878, 중산빌딩 앞","서울특별시 강남구 신사동 611, 중산빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 압구정로 216, 코끼리상가 앞","서울특별시 강남구 신사동 615-1, 코끼리상가 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 압구정로 336, 성창상가 앞","서울특별시 강남구 신사동 661, 성창상가 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 압구정로 151, 신현대9차상가1동 앞","서울특별시 강남구 압구정동 426, 신현대9차상가1동 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,서울특별시 강남구 압구정로 201,서울특별시 강남구 압구정동 458,공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 논현로 507, 대신저축은행 앞","서울특별시 강남구 역삼1동 642-6, 대신저축은행 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 선릉로 519, 삼응빌딩 앞","서울특별시 강남구 역삼1동 696-40, 삼응빌딩 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 테헤란로 120, 상경빌딩 앞","서울특별시 강남구 역삼1동 824-20, 상경빌딩 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 강남대로 382, 메리츠타워 앞","서울특별시 강남구 역삼1동 825-12, 메리츠타워 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 테헤란로 108, 테헤란빌딩 앞","서울특별시 강남구 역삼1동 825-33, 테헤란빌딩 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 강남대로 362, 대륭강남타워 앞","서울특별시 강남구 역삼1동 826-20, 대륭강남타워 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 강남대로 324, 역삼디오슈페리움 앞","서울특별시 강남구 역삼1동 832-5, 역삼디오슈페리움 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 강남대로 318, 역삼타워 앞","서울특별시 강남구 역삼1동 837, 역삼타워 앞",먹거리,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 선릉로 309, 햇님토이 앞","서울특별시 강남구 역삼2동 765-9, 햇님토이 앞",공산품,건설관리과,02-3423-6535,2021-12-01
가로판매대,"서울특별시 강남구 도곡로43길 21, 래미안아파트 앞","서울특별시 강남구 역삼동 762-3, 래미안아파트 앞",공산품,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 302, 대영빌딩 앞","서울특별시 강남구 역삼1동 837-10, 대영빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 압구정로 130, 종화빌딩 앞","서울특별시 강남구 신사동 548-3, 종화빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 봉은사로 119, 성옥빌딩 앞","서울특별시 강남구 논현1동 202-16, 성옥빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 강남대로 382, 메리츠타워 앞","서울특별시 강남구 역삼1동 825-11, 메리츠타워 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 학동로 88길 5, 진흥아파트 1동 앞","서울특별시 강남구 삼성1동 53-2, 진흥아파트 1동 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 삼성로 4길 17, 공신빌딩 앞","서울특별시 강남구 개포동 187, 공신빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
구두수선대,"서울특별시 강남구 도산대로 522, 청담빌딩 앞","서울특별시 강남구 청담동 50-2, 청담빌딩 앞",구두수선,건설관리과,02-3423-6535,2021-12-01
